TG Number,TG Name
6041,Cross Mode DMR TO ANALOGUE
6060,60 Radio Group
6072,Gogebic County Severe WeatherNet 
6081,WX8NWS ALLSTAR BRIDGE
6102,Talkgroup Radioamatori Italia
6114,US MARINE CORPS GROUP 
6127,CENARL DX6CN
6146,Nerima Tokyo TGIF Link
6161,Nisaba.tech
6169,NW MO N1JXX DAVE 
6222,Larry's General Chat
6241,kf0bxi
6282,North American Talk Box
6340,ROMEO
6351,DTX RIVER BOTTOM
6363,Diginerds
6369,G4SKM
6374,Meshcore-UK
6453,HAM RADIO GROUP
6487,US Ragchew Unlimited
6488,US RagChew Network 
6633,All Nodes Net
6640,K6EGG
6666,China Digital Link 
6684,6684 Mt. Mitchell Mesh
6694,South 40 net
6777,W4VDX 
6817,WWARG NETWORK RADIO HUB
6832,KD8LBS
6918,Thuis
6919,Southern Ham Club
6969,Illinois Hams
7000,pd2ari
7007,EmComms
7015,SW PA Link
7030,KE0PKU Papa Joe
7060,El Salvador Main Room
7061,El Salvador Región 1
7062,El Salvador Region 2
7063,El Salvador Region 3
7064,El Salvador Eventos 
7065,El Salvador Emergencias
7104,Dr SDR
7117,Izumo Ham Radio Chat
7137,The TARDIS Lounge
7140,Chiriqui Occidental
7144,Chiriqui Link
7149,LIRAZO
7162,TRUJILLO ZONA OA2
7200,7200 Says it all The 40 meter Misfits
7205,Union County NJ Alumni
7208,RC Pilots Lounge
7220,Band Hoppers
7224,CONFERENCIA NAUTICA ARGENTINA 
7225,GRUPO RADIOFICIONADOS BARILOCHE
7226,Miami Latino
7229,Argentina-Room
7238,East Coast USA-Link
7241,Norte Brazil
7242,Nordeste Brazil
7243,Centro oeste Brazil
7244,Suldeste Brazil
7245,Sul Brazil
7246,Rota do vinho São Roque SP
7247,Brazil-Link
7248,Sao Joao Del Rei (PY4HZ)
7249,Brazil - Network and Computer
7253,PPROEM SCU
7257,The CO-AX Connection
7272,The 72 Chew (Daily 9AM-12PM/ET 40M on 7272)
7274,Corn Cob Net (Daily 6-8AM/EDT 40M on 7274)
7285,CLUB 45-47
7337,Fediverse
7341,RED YV1
7373,Parks On The Air (POTA)
7374,AZ POTA
7388,GRCARC
7399,Amateur Radio Missionary Service
7401,Ecuador Zona 1
7402,ECUADOR Zona 2
7406,RADE
7407,RADE-HC
7410,NAUFAR Repeater North Aurora Illinois
7447,Estamos em Narnia
7470,747 DVM
7474,Hollywood954
7481,Uruguay.Net
7573,WestLink
7620,NC CrossLink
7640,Bryon's Radio Villa
7652,Pasour Mountain
7682,GB-SOTA
7700,Aviation Chat
7722,PPCC Ham Club
7760,PD2V Apeldoorn TechTalk
7770,JesusSaves
7777,SCRAPPER Network 
7779,Puducherry DMR Group
7789,Foothills NC Rag Chew 
7794,TGIF 7794
7959,WA2EMS CENTRAL NJ
8000,8000
8008,Fren Posting
8014,RADIO ANARCHISITS 2
8036,salamanca
8044,AMATUER RADIO ANARCHISTS 1
8075,8075AMC
8080,Enlace Noreste
8081,Happy Place
8086,HAMSAFE
8104,BSA Camp Durant - OA 8/104
8115,VF DMR
8125,GB7DU
8133,South Devon 
8144,Toriten Love
8181,Marion County (FL) EMCOMM
8200,Mountain Lakes Regional Amateur Radio Society
8231,Digital Coffee Club
8248,GX4MWS Macclesfield Radio Club
8281,The Farm
8420, Baked Hams 
8500,Osona
8510,Oman
8550,QTHLatinos.Ham Club
8570,Vall del Ges
8648,OMISS 
8649,Noto Hokuriku
8663,Expats in Panama
8761,American Legion Amateur Radio Club
8762,US Military Vets
8788,GRUPPO ITALIA 7
8810,Zürichsee
8823,8823
8873,JR1WFW DMR SFR link JE1YSZ Chiba Kazusa
8888,Hwy 12 Station
8899,Gruppo Escursionisti Radioamatori
8912,TETRA Radio Users
8934,SKCC GROUP
9000,G.E.R SÃO ROQUE E REGIÃO 
9015,Wild Bill Family and Friends
9050,East Coast Reflector 9050
9111,VU-ODM
9113,Frequency of Hope
9158,9158Room_WiRES Gateway
9229,Makiling
9247,Organization 13
9374,WALES DIGITAL RADIO GROUP
9393,Boleskine House
9394,SEANET Cantonese Speaking Hams Group
9600,Kanazawa
9625,Walton County EARS
9629,Firewire
9665,Shortwave Radio Listeners Appreciation Group 
9666,Indian Telugu Ham Radio 
9800,Cafe Gratis 
9876,LGBT Chat
9911,EMCom
9913,tri state radio group
9915,McHenry Co Emergency Services Volunteers
9919,XLX919 XNexus Thailand
9957,noswr
9959,Pike County
9969,TG9969
9993,Boudica
9996,YSF IT FRANCAVILLA 31973 DG-ID 89
9998,Breaking News
9999,M8KBZ
10000,Setagaya
10001,The MistFit Network ASL 506451 506452
10002,Hams Tech Talk
10006,Hokkaido
10100,TENNESSEE
10101,KW0Z RADIO SHOP TALK
10102,POLLY
10156,MILITARY ACTIVERETIREDand VETERANS 
10176,Dgital-America
10179,Liverpool RAYNET Group
10203,Eureka on TGIF
10258,World Wide Chatters
10367,Ten Forward
10599,TAMA TG
10665,Takarazuka DMR / RK Ham club
10757,Ivan's Personal TG
10860,Mobile Team of Saikai and Sasebo in Nagasaki
11000,CCARC
11111,Crypto Chat 
11159,Wheels N Keels
11171,HF Dock
11200,112 EMERGENCIA MAFRA-PT
11344,CSRA Radio Group
11389,Cowboy Shit
11600,EA7RKL
11676,W3CEC - Chat
11710,Emergency Radio Long Island
11911,SATERN DMR
11959,RENOPINOY
12111,Long Island NY
12121,K6GD
12141,Minutemen of the Air
12150,W8LOW Hub
12153,Indy TG
12174,JVTMiami2
12198,HamFurs
12321,Frederick ARC
12323,Appalachian Whitewater
12345,GLAARG-VEC
12360,Clay Center Ks backup talk Group
12420,Sandhills Armature Radio Club (SARC)
12922,8&amp;2 Group
12950,FMUARC
13000,JA3YTZ Group
13399,N.P.M
13500,Bate Papo Informal - BRASIL
13579,Signal
13666,JoeNet
13676,North Country Amateur Radio Club W2LCA
13739,WV ELKINS DMR 24-7 Chatgroup
13939,Hatsune Miku Voip circle2
14000,Wadayama
14001,Wadayama
14054,W5JDW Link
14094,LARA DMR Group
14163,Wabash Co IL Digital
14494,DX3F
14514,ACGN
14521,South Wake ARC
14533,WX4BWK
14547,FLARC
14561,MAPGA PACKET RADIO GROUP
14562,LARSEN INC
14571,TGIF JAPAN
14652,Simplex Junkies
14658,DRCIT
14670,OCARA Otoe County Hams
14679,Folkston GA Repeater
14685,Florence SC Amateur Radio Club W4ULH
14688,East Pasco Amateur Radio Society
14691,W4PAR Lexington NC
14697,Siouxland
14700,Callahan
14705,NC-Broadway
14715,RVARC
14727,NC-JARS
14730,OVMRC
14733,Central Ontario Amateur Radio Club - Network
14742,Wasteland
14778,YAGOTO DMR
14815,14BIS
15000,Kanazawa VoIP
15137,Pittsburgh Allegheny County Area
15153,Ham Helpers net
15973,Ham Operators Of North America
16504,NW PA HAM HAMRADIO FACEBOOK USERS
16585,ON4WZ-TechTalk
17000,Texas Gulf Coast RACES Group
17001,Texas State RACES - District 04-DFW
17071,TruSoc HR Group
17077,LaGrande_RadioClub
17520,MMRA
17760,DMR Chat
18207,BessoLink
18371,Tities's Family 
18621,Luzerne County DMR
18643,Nepa Connection
19032,Lehigh Valley Hams
19050,Lone Wolf System
19191,Manistee Allstar Bridge
19283,VU3YFL
19288,Shelby Amateur Radio Club
19373,93s and 73s
19397,GIBRALTAR-ZB2MR
19400,Arkansas AUXCOMM Statewide
19401,Cabway Radio Techs
19402,Glenda Project 
19406,Cigar Bar
19461,Eastern Kentucky
19540,W9DMC
19570,Afton Tennessee
19587,Magyarorszag 
19614,Budapest
19681,KP4ARA
19701,CHABAD WEST BOCA
19810,Belize
20000,NAKAYAMA
20001,K1SCD - Ham Radio Saves Lives
20151,A couple of dudes on the radio
20200,HELLAS CQ AETHER HELLAS BRIDGE C4FM YSF TGIF
20201,HELLAS Zone Net
20202,Greece DV
20203,Hellas-Node
20210,Greek Europe
20212,GR-C4FM-GROUP
20215,Hellas-20215
20217,Hellas-20217
20218,Hellas-EchoLink-20218
20219,Greek Globally Echolink Users
20220,THESSALONIKI
20221,SV2SNH
20222,SV2SNH
20223,SV2SNH
20224,SV2SNH
20225,SV2SNH
20226,SV2SNH
20227,SV2SNH
20228,SV2SNH
20229,SV2SNH
20230,SV2SNH
20240,HELLAS - THESSALIA 
20250,HELLAS-RHODES-ECHOLINK
20251,basingstoke
20260,NORTHWEST GREECE NETWORK
20261,PREVEZA NETWORK
20262,IOANNINA NETWORK
20269,ARTA NETWORK
20270,Good Vibes TG
20273,TALK_TEST
20278,My Private TGIF
20281,Kerkyra DV
20299,GREEK EMERGENCY NETWORK
20313,KE8UOT ALLSTARLINK NODE 480540
20319,ROOM TENPAKU
20321,Pokémon
20400,Nederland Centraal
20401,Nederlands Tokkelgroepje
20408,VERON Afd Centrum 08
20424,Rijnmond
20432,NL Noord-Brabant
20538,Higashiosaka Digital
20600,Belgian Multiprotocols
20612,BELGIUM WAASLAND
20620,BELGIUM RAGCHEW
20621,Belgium Westhoek
20665,violets bloom　1
20699,FreeDMR Belgium
20800,France
20844,Nantes France
20871,Saône et Loire
20878,Rock Collecting
20890,89 Network　
20899,RI49 France-Multiprotocole
21000,Open Radio Network
21212,EVAR (K7EVR) Digital Amateur Radio
21332,2MC2
21337,Dusty Radio
21400,HAMRADIODX.es
21401,EMERGENCIAS ANDALUCIA - QSO
21406,Radioclub AREX
21411,Extremadura
21413,Provincial cadiz
21420,Grupo Radio Galena
21421,Time for a cold one
21430,ea5ijt
21433,Los Xostrones
21440,CAMPA TORRES TEAM
21441,TG SEVILLA
21465,ADER 
21466,RF-NETWORK
21467,Radio Vampiros 
21468,MultiSystem
21469,Tupamaros
21470,JOLCHHOBI NETWORK
21472,La Campa
21473,AMIGOS EN LA DISTANCIA
21475,R3Net
21482,HAM-TETRA-EA
21483,RADIO MAKUTO ESPANA
21490,UNIDAD CIVIL DE EMERGENCIAS
21491,UCEVA (EMERGENCIAS)
21499,TOTEMER - RED ZULU
21600,Balaton Boyz
21650,Csendes sarok
21756,TACLINK-OPS
21877,E701BFF
21888,E701BFF
22036,Kraljevo DMR
22039,South Louisiana Rag Chew 
22055,Lokal
22066,Cluster Cmare 
22090,MESSINA
22115,Vigili del Fuoco Volontari Italia
22167,Cluster Castellamma di Stabia
22200,HBLink Italy
22201,YSF CMARE
22208,ITALY CENTRO 
22209,LOCALE
22210,Talkgroup Napoli
22211,P.C.R.E. Protezione Civile Radiocomunicazioni Emergenza
22212,Adna
22215,FreeDMR TG-22215
22216,FD_ADN Systms TG22216
22217,Ras Sardegna MP
22218,Ras Sardegna mp
22220,ItalyNet Conference
22222,GardaLake
22225,K2
22226,K2xx
22227,TGIF-K2
22233,ITALY HAM
22235,Talkgroup ROSETO
22241,FD_ADN System 22241
22245,ITALIA_Sud
22251,FreeDMR-22251
22260,TEMATICO FREE
22261,TG ABRUZZO
22265,ITALY TERAMO TGIF
22266,Abruzzo Radio
22267,IU3GMR_TGIF
22270,TRANI-BAT
22271,PUGLIA
22272,CANOSA-BAT
22273,IT-C4FM_BAT
22274,ANDRIA-BAT
22275,BISCEGLIE-BAT
22276,Trani Conference
22277,ANDRIA (BT) Conference
22278,MARGHERITA-BAT
22279,SMAM
22280,Talkgroup Caserta
22283,Talkgroup Campania 
22288,TG Avellino
22291,FreeDMR-22291
22302,tg Sardegna
22312,DVSwitch Members
22320,Echolink Italynet
22389,Grel
22391,FreeDMR-Sicilia
22406,AllStarnode
22407,TG AOT PESCARA ITALY
22440,IR0ZXD-R
22474,Myrtle Street Repeater Association
22481,AMRS GROUP
22486,ITALY GPG
22487,Matrix Reloaded
22524,CFLAG Tac 1
22556,Stafford Virginia
22581,Hatton Park Radio Club
22586,Mahoroba ARC
22587,VOIP Kitakatsuragi Nara
22600,2600net - irc.scuttled.net/#hamradio fb.2600.chat/#hamradio 
22603,AltComms
22606,The GNU Water Hole
22607,RO-POTA
22609,HAM-YO
22622,România
22634,DXLink
22666,GLOBAL NETWORK
22747,kyoto-yamasina
22762,CARMA
22777,Talkgroup Avellino
22812,Geneva-CH
22813,Alpes vaudoises
22824,Echolink Swiss Italian
22825,Multiprotocoll Swiss Italian
22888,Our Coffee Shop - 2nd Cup
23017,JA HAM CAFE TGIF
23179,Glossop
23200,Austria-All
23221,SERN - Emcomm 1
23222,SERN Emcomm 2
23223,SERN Emcomm 3
23229,Poc-link
23400,New System Amateur Radio Operators Network
23414,NW Radio Group UK
23416,400Club
23423,BARS - Bolsover Amateur Radio Society 
23426,FreeSTAR International
23441,Ears Radio
23450,YorkshireNetUK
23451,CQ North East
23452,CQ North West
23453,CQ Scotland
23454,CQ Northern Ireland
23455,CQ Wales
23456,COAST 2 COAST (DMR Multi-Network)
23457,FB Multimode
23458,Christ With Us
23460,UK North East CQ 
23461,SARC
23491,NXDN-Cambridge
23499,North Coast Watch N.I.
23500,London TG
23501,Soccer
23503,Southern England YSF - 88688
23510,South East Chat UK
23519,Bluebell Hill Kent UK
23520,North West (cumbriaCQ) UK GB
23524,CFLAG DMR
23525,Extended Freedom Network
23526,HUBNet
23530,Yorkshire- Link
23531,RAYNET UK National
23535,G1SCQ Allstar Bridge
23538,E.A.R.S Yorkshire
23551,ALBA SCOTLAND Allstar Multimode 
23552,MS0NTR Club
23557,Scotland East
23558,Highlands &amp; Islands
23559,Scot West
23560,North East UK TGIF
23561,North North East UK TGIF
23566,South Wales Digital Group
23567,Clubnet UK
23579,Digital Dragon Radio
23590,East Midlands UK
23591,Nottinghamshire Link
23595,OZ-DMR NETWORK (United Kingdom)
23599,Lincolnshire Live
23669,74ARPSCADM
23800,Spyder Ryders
23834,Central Virginia Tech Talk
23911,PUERTO RICO SKYWARN GROUP
24000,Talk to Sweden
24016,24016
24071,Jonkoping HUB
24072,SK7HR Local
24112,Nordic Truckers
24113,Nordic TechPreppers
24211,LA DX Group
24230,JH9ZAK Group
24682,PIAGGIO SPA
24769,Exploring Digital
24901,SWVARA WV
24910,The Meeting Place
24911,Dares 
24934,Departure Room
25016,FALCON
25069,Tver city 
25077,JAYS - DMR EXPERIMENTATION GROUP 
25118,Drive Time Uk  Worldwide
25161,SavageOverlanders
25225,Reduced Salt Ham Radio
25253,niconico
25378,ALERTradio ERC
25500,Ukrainian Frequency Friends
25501,Kyiv city
25504,Dnipro
25508,Zaporizhzhia
25510,Kyivska obl
25511,OdesaRadioLink
25515,Nikolaev
25516,Odesa
25517,Poltava
25530,Husky_Obolon
25544,Echolink UA
25548,Old_Odessa
25550,Одесский Радио Линк
25555,ORLink
25578,Tri Topora
25583,Ukrainian Ham Network
25627,Krasnodar
25660,Prepper Comms Thru Ham
25702,KOW Tristate Area
25777,Three_Axes
25850,Chesapeke Bay Radio Association
25981,Western Greenbrier County WV 
26000,Phone Phreaking
26009,EmCommPoland
26011,Gryf Szczecin
26043,Poland Podlasie
26059,Poland Kurpie
26066,Poland Wroclaw
26067,Legnica
26076,Poland Starachowice
26077,Special Stations Group
26078,Poland Kutno
26095,Poland JURA
26099,Poland Silesia
26221,NDR BSG AFU Hamburg City
26238,AB WEST 26238
26250,DE-Saarland
26252,DE-Rheinhessen
26254,26254
26256,DE-Kusel
26258,DE-Merzweiler
26260,DE-Ulm
26269,DL-Hessen/RLP
26270, Funkfreunde Rhein-Main 
26271,Baden (Baden-Baden)
26275,A24 &amp; Friends
26277,Schwarzwald
26278,Schwarzwald Test TG
26370,Ulm
26403,DE-SL-Saar
26421,Hamburg C4FM
26429,DL-Nordwest
26444,Inselfreunde
26480,Scan New England
26486,Draussenfunker
26512,Warsaw NXDN Group 26512 Poland (DMR Link)
26544,The Kyoto Rakutō Neighborhood Chat
26633,Kaizo
26655,Akuragawa
26669,SABAE Radio Network
26677,Riverstone Yokkaichi
26699,Tarusaka
26800,Galloway Township OEM
26911,TGIF POLISH HAM RADIO GROUP
26968,License Free Radio JAPAN CB 1CH
27010,GRUPPO RADIO PAVESE
27079,N8MBS
27107,THE HAMSTERS 
27125,Betuwe Amateurs
27131,Idaho
27144,THE 27144 Group
27239,Denton NC
27295,Club KST
27304,SORA PATNA
27360,Troublemakers
27372,The NXG Hub
27373,Wallburg NC
27381,WORLD FRIENDSHIP
27439,Tennessee Amateur Radio Prepper Net
27500,CCAR Link
27501,NC4ES Chat 1
27502,NC4ES Chat 2
27520,NC Rippin Lips 
27534,NZ3C Amateur Radio Testing 
27549,BR549 chat
27550,East Tn DMR Newbies
27555,Tiel Netherlands
27596,CERT Youngsville NC
27622,DigiCommCafe
27715,CQ-Ohio
27772,W8OAK Oakland County ARPSC 
27800,Kanata Hams
27906,Yooper Amateur Radio Club KC8NWS
27948,The Batcave
28054,Kansas City Wide
28092,Lincoln County NC Area Communications
28100,loUiSiAna Nationwide
28101,Louisiana Nationwide Tac2
28112,ATAKD
28257,MB7IDW
28299,America Ragchew
28300,DL-TGIF-Ruhrpott
28315,MOCO NC DMR
28345,DX Amateur Radio Exams
28377,New York Link
28476,Railhams
28499,Pernik(Bulgaria)
28600,Türkiye multi mode reflector 
28601,ADANA
28603,AFYON
28604,AGRI
28606,DMR Ankara
28607,ANTALYA
28609,AYDIN
28616,BURSA
28626,ESKISEHIR
28627,GAZIANTEP
28631,HATAY
28633,MERSIN
28634,ISTANBUL
28635,IZMIR
28638,KAYSERI
28642,KONYA
28645,MANISA
28646,KAHRAMANMARAS
28647,MARDIN 
28652,ORDU
28657,SINOP
28659,TEKIRDAG
28677,YALOVA
28681,Tasylorsville
28690,QRV73
28691,Disaster Emergency (Afet Acil)
28698,GW-EA7KNK
28699,SFR LİNK
28700,Houston-County-TN
28781,Repeater Owners And RF Enthusiasts
28952,3 Counties Radio
29014,Make someone happy
29020,Kershaw County ARC
29078,Kershaw ARES
29129,Travelers_Rest
29166,YRD
29170,Midlands Skywarn
29185,Stump Knocker
29186,Eden Army
29203,Columbia Amateur Radio Club
29252,Oklahoma Hamsomniac Reflector
29332,Alaska Morning Net
29401,Charleston SC
29536,W4PDE
29642,Scorpion
29660,KB3AWQ Multiband System - Pennsylvania
29662,Cary CERT 
29930,New Mexico Multiprotocol
29969,GRC-Net
30000,Military Pilots Lounge
30070,IRLP_0070 
30087,IRLP_0087 - Allstar_42121
30092,IRLP_0092 and Echolink MICH-EXP 593804
30093,Hams On The Move
30104,Arendator
30140,CTG TalkGroup
30159,RARC East TN
30165,TG CAMPOS RJ
30180,Villa Rica Radio Club (VRRC) GA
30200,TGIF Emergency Services Group TAC 0
30201,TGIF Emergency Services TAC 1
30203,The Canada Hub
30214,VA7FK
30221,Discussions Québec 
30231,TORONTO CANADA
30232,Golden Horseshoe Ontario Canada
30233,VE3RIG
30235,Canadian Caribbean Amateur Radio Club
30236,Texas Chat
30240,Cluck Cluck Chicken Truck
30245,Mauricie-Quebec
30253,Central Georgia TGIF
30262,Mabuhay-Canada-Link
30273,Van Isle Connect
30277,R.A.T.S. Digital Network Group
30278,Filipinas Digital Network Group
30401,Appalachian Repeater Association Link
30403,West Virginia Statewide
30404,WV-LINK NETWORK
30639,NorCal
30736,Catoosa Tac1
30813,Grovetown Ga
30824,Thomson-McDuffie County GA USA
30847,Chandler Hams
31001,NC4ES Cluster
31002,Chatham County NC AUXCOMM
31003,Central NC AUXCOMM Net
31004,US Severe WX
31010,Alabama Link
31012,KQ4ESQ Repeater Link
31013,ALERT-K4NWS
31018,KC2ABV REPEATER SYSTEM AllSTAR 419811
31031,IRC hf-uhf
31033,AGUADILLA
31034,AGUADA
31049,Bayou State Remote Exam
31050,FISHOOK/COWPADDY
31051,Arkansas WX 
31052,FCARC2
31055,Arkansas StateWide 
31060,Resonant Frequency Podcast
31062,Mountain West 
31066,SoCal
31069,BADCAL
31089,Hytera USA
31100,Midwest 100
31101,AMERINET
31111,Hotspot Helpline
31121,First Coast DMR
31122,Clay County DMR
31123,Treasure Coast Florida
31126,Nassau FL TGIG
31128,Winter Garden Florida
31129,Orlando Hamcation
31132,South Georgia
31133,First Coast Scouts
31134,North Georgia
31137,XLX-137
31139,GA CatWalk (Catoosa/Walker) 
31144,NEDR - Rhode Island Statewide
31146,LPCARC - Indiana
31163,Gaming Central
31164,KI9NG Allstar Link
31170,Round Lake Area
31171,Illinois Link 
31172,NISW
31173,Northern Illinois Ecomm
31177,WESDIG Western US Digital Group W7DGT
31180,ON PATROL LIVE- Friday/Sat Nights - XLX389
31181,Seymour / Jackson County Indiana 
31182,Indianapolis Indiana
31183,Severe Weather- Radar Watching
31184,Columbus Indiana Area
31185,Columbus 2
31186,KV9Q Indiana Admin 
31187,KE9MS
31188,KV9Q- 
31189,THE CELLAR- XLX389
31193,NW-Iowa_3
31201,BYRG Chat
31204,Sunflower State TGIF
31205,Kansas TGIF
31207,Sunflower Net
31213,A13 Group
31217,Central Illinois Skywarn
31219,Friends of K2EJ
31221,SELCOM
31222,LA AUXCOMM
31225,Southeast Louisiana
31226,World Wide Chat (MULTI-MODES)
31227,Acadiana Louisiana
31229,ArkLaTex
31234, 3 Rivers Repeater System
31235,BMW Motorbikes of Maine
31238,Foxhole Radio Network ASL 547942
31257,NEARC
31258,SSN Tracking Party
31261,Oakland County MI Winlink
31264,DUDE-Link
31266,Michigan Nets
31267,West Michigan
31268,MichiganOne DMR Tech Net
31272,Minnesota Metro
31273,Northstar Hub
31274,Minnesota Chat
31275,SE Minnesota
31276,TesterBesterTester
31279,MN Severe WX
31281,NEM One
31284,Brooklyn Boys NYC
31285,NorthEast Mississippi
31286,premiere communications group
31287,South Mississippi
31288,NorthWest Mississippi
31291,Queen City Net
31299,NE MS TAC
31301,Montana
31309,Montana ARES 
31311,Nebraska_Hub
31313,US RAGCHEW
31318,Cross Band Campers Amateur Radio Group
31320,IRN - International Radio Network
31326,Alpha Radio Club
31331,Northern NH AllStar Link
31337,Hax0rNet
31340,CNJHAM
31344,kb2rhn
31360,NY-NJ-PA TriState
31368,TAC FJB
31369,Harnett County NC AUXCOMM
31370,NC TAC
31371,TriangleNC
31372,Eastern NC Disaster
31373,Central NC Disaster
31374,Carolina Link
31375,High Rock Lake NC
31376,Chatham AuxComm
31377,Foothills Wave Whisperers
31379,Piedmont Triad Network NC
31380,Misfits ARC of NC
31390,TORCON WX
31391,OHIO Morrow/Delaware/Marion/Knox
31394,Southwest Ohio
31398,BBARC
31403,OklahomaLink
31405,Canadian Valley Radio Club NF5Q - Oklahoma
31406,SAVHAMS
31411,Voice Assistant
31415,WB6EQK
31420,PA PUBLIC SAFETY AMATEUR RADIO CLUB
31421,Pennsylvania Connect
31422,Pennsylvania ACS
31423,Pennsylvania Tactical
31429,TACDA Members
31444,RHODE ISLAND DIGITAL LINK
31451,SC Chat
31452,N1RCW Link System
31454,KQ4SFF Bluffton SC Area Chat
31455,N1RCW Beaufort County Comms
31456,Charlotte County FL ARES
31458,SC Midlands
31459,SC Pee Dee
31465,Findlay Arts
31466,Sd Digital 
31467,Qnuckle Heads
31473,TN TAC System 
31477,Tennessee Outlaws
31479,Fayetteville Arkansas
31481,North Texas
31482,West Tx
31483,South Tx
31484,Southeast Tx
31485,Central Tx
31486,Austin Texas
31489,DMR Track
31501,FloridaKey
31505,Ronald Ergen
31513,SWVA DMR
31515,Tidewater Virginia
31516,Hampton Roads
31525,Golden Isles of Brunswick GA
31535,TechTalk
31536,Space Junkies Network
31555,WI-DMR
31560,Southeast Wyoming
31570,Bald Rock Amateur Radio Club
31578,LERTCOM
31580,The NERDS-New Mexicans Engaged in Radio Discussions
31581,KD2UQK Long Island NY - TGIF DMR 
31600,Indiana outdoors 
31620,KOD
31624,KOD 2
31625,The Hangout Spot
31649,Lake Superior 
31650,SDFARC
31654,4SQRP
31655,Ham Radio Venture Overland
31656,America Link
31661,OMIK
31662,JVTMiami1
31664,KE8CB TG
31665,TGIF The Mothership
31667,Amateur Radio Collective of Western Carolina
31669,KE0KEY Global DX System
31670,DIGITAL LINK
31675,REF020A Bridge
31678,Catawba Valley DMR
31679,Blind Hams Network
31683,PRESCOTT
31686,Skywarn Youth
31688,NEHUB
31689,FDCCU TG
31691,TriStateDMR
31699,Atlantic Coast Digital
31701,Starfleet Amateur Radio Group - SFARG
31725,NY NJ weather
31726,Ocean county
31727,Garden State Emergency News
31744,W4IY
31745,Woodbridge Wireless Group
31753,WarriorNotes Radio Fellowship
31760,XPR Pinoy Network
31765,Sheridan Co. Amateur Radio Club
31770,RFinder Users Group
31775,FILAM Hams
31777,MadChan
31801,The Gathering Spot
31802,Chat Lounge
31803,The Secret Talk Group
31805,California Central Coast
31817,W.O.T.A.R.
31821,Jefferson State
31828,North Carolina Mesh-Chat
31829,WNC Fire Pit
31860,Sweet Owen 
31888,FL-FART (Florida Amateur Radio Team)
31910,DC - MD - VA
31911,Southeast Emergency Network
31912,Boriken Memorial Pantheon
31918,NM Multi-Mode
31921,Dog out Walkin'
31954,Michigan Colorado Connection
31983,DVMIS Multimode ILS
31999,My Knee Hurts
32025,Columbia County FL 
32036,Clover Knot Heads
32068,SPANISH DMR
32080,LACQ CLUB
32100,IU3GMR_BL
32103,CW Ops
32124,Volusia County ARES
32150,285 Tech Connect Radio Club - NA0TC
32168,KE5JS Group
32266,BridgeCom Plus
32323,Paddy's Pub
32384,AG5AA
32435,KF4ZZ Engineering
32520,California High Desert
32592,32592
32665,USA Wide
32682,KE5MS Group
32769,WB2QBP 
32771,Sanford FL DMR
32780,CCNY Alumni Hams Corner
32824,K1MCO TG 32824 Central Florida
32999,Tennessee Ham Chat
33001,BORICUAS TGIF
33012,PR-CAGUAS
33013,Latinos Unidos
33014,BORICUAPA
33015,PR Boriken Digital Network 
33030,BORIQUENSES
33041,GRUPO HISPANOS 
33057,SanSebastianDigital
33058,Western PR
33104,Mobile Truckers
33182,West Coast Radiosmiths
33213,WP4SSB TGIF Digital Network
33217,Christain Co  IL Skywarn
33307,Paranormal Hub
33333,Jacksonville FL Hub
33409,Bridge XE1RAG - DMR - YSF - TGIF
33415,RCS Bridge DMR - Tgif
33426,Red Digital del Noroeste A.C.
33431,YUCATAN Bridge to allstarlink Node 67450
33432,Allstarlink Node 67148
33445,NC Statewide
33455,TG XE1TTS
33499,MEXICO TGIF GATEWAY
33567,Johnson Adventures
33581,Net Chat
33588,2bLogic
33674,GABLIC
33725,Caguax Radio Club
33884,FRIENDS
33904,Esperance
33908,Ramble Inn
34112,DEPREM ANONS
34300,Thin (whatever) Line
34377,Hazmat Response Members
34433,Dunnellon TGIF (FL)
34470,Emergency Room Nursing 
34482,Motor Coach Operators
34614,Weeki Wachee DMR
34637,Land O Lakes DMR
34675,rascons
34911,TURKUAZ ARAMA KURTARMA
34953,JMS FL South RAG CHEW
34986,JMS FL South 2 Rag Chew
35000,MULTIMODE BRIDGE LINK
35178,Auditors South Carolina 
35244,The Blindsphere
35733,Defcon - IP
35992,Oracle
36036,GREEN EGGS &amp; HAMS
36064,CENTRAL ALABAMA ALLSTAR HUB
36092,Elmore ARES
36093,WHITELIGHTNING
36156,Straits of Mackinac
36222,Northampton Scout Amateur Radio Group
36250,Northampton Radio Club
36255,NDARG-UK-TEST
36272,Fort Myers Amateur Radio Club
36360,TALARC
36801,East Alabama Digital Group
36891,Net Digital Cubana
36921,Glendon Scouts Amateur Radio Group
36940,Doghouse
37000,MTEARS
37030,Skynet
37035,CC Radio Club
37051,Fox
37054,RadHisTec
37086,N9BI
37188,Whole in the wall
37218,Haiti EmComm WX ARES
37390,St Tybie Amateur Radio Society
37501,Belarus 37501
37627,Usual Suspects
37910,Mudpit
38232,Night Ops
38632,CARA 91 RPTR Hernando MS 
38654,DeSoto County 
38655,UMARC
39000,Jeff &amp; Tom
39055,Multi Hop Network
39319,Impact4Him
39360,PNW WA Local 3
39660,YOKOHAMA TZ361
40060,SOBER HAMS
40095,4-Doors
40199,bate papo DMR (brasil)
40251,Jeep Nation
40400,CAXIAS DO SUL-RS-BR
